Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric",121.687500,-115.387500,-90.000000,top
"C2","4.7uF","C_0805_2012Metric",128.487500,-112.175000,-90.000000,top
"C3","4.7uF","C_0805_2012Metric",138.000000,-111.800000,-90.000000,top
"C4","4.7uF","C_0805_2012Metric",134.718750,-116.087500,180.000000,top
"C5","10uF","C_0805_2012Metric",130.987500,-112.175000,-90.000000,top
"C6","100uF","C_0805_2012Metric",193.280000,-129.830000,180.000000,top
"C7","18pF","C_0805_2012Metric",171.900000,-126.950000,-90.000000,top
"C8","18pF","C_0805_2012Metric",165.200000,-126.950000,-90.000000,top
"C9","100nF","C_0805_2012Metric",153.200000,-123.500000,0.000000,top
"C10","100nF","C_0805_2012Metric",153.500000,-118.700000,0.000000,top
"C11","100nF","C_0805_2012Metric",155.100000,-128.840000,0.000000,top
"C12","100nF","C_0805_2012Metric",166.300000,-123.630000,180.000000,top
"C13","1uF","C_0805_2012Metric",153.400000,-121.200000,0.000000,top
"C14","100nF","C_0805_2012Metric",143.200000,-121.850000,90.000000,top
"C15","10uF","C_0805_2012Metric",169.910000,-123.630000,0.000000,top
"C16","100nF","C_0805_2012Metric",150.550000,-107.500000,0.000000,top
"D1","LED","LED_0805_2012Metric",125.137500,-109.887500,0.000000,top
"D2","LED","LED_0805_2012Metric",134.637500,-109.887500,180.000000,top
"D3","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",192.800000,-134.000000,90.000000,top
"D4","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",192.800000,-140.900000,90.000000,top
"D5","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",190.275000,-146.650000,0.000000,top
"D6","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",182.068750,-146.650000,0.000000,top
"D7","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",173.867500,-146.650000,0.000000,top
"D8","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",165.656250,-146.650000,0.000000,top
"D9","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",157.450000,-146.650000,0.000000,top
"D10","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",149.243750,-146.650000,0.000000,top
"D11","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",141.037500,-146.650000,0.000000,top
"D12","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",132.831250,-146.650000,0.000000,top
"D13","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",124.625000,-146.650000,0.000000,top
"D14","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",122.000000,-140.900000,-90.000000,top
"D15","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",122.000000,-134.000000,-90.000000,top
"J1","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",150.300000,-111.000000,90.000000,top
"J2","Conn_01x02_Socket","JST_S2B-PH-K-S_LF__SN_",125.670000,-104.960000,-90.000000,top
"J4","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",119.800000,-123.210000,-90.000000,top
"J5","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",182.400000,-122.690000,0.000000,top
"LS1","PS1240P02BT","XDCR_PS1240P02BT",179.020000,-113.700000,0.000000,top
"Q2","MMBT3904","P200_SOT-23",171.510000,-120.250000,180.000000,top
"R1","5.1k","R_0805_2012Metric",128.867500,-121.330000,0.000000,top
"R2","5.1K","R_0805_2012Metric",128.867500,-124.900000,0.000000,top
"R3","470","R_0805_2012Metric",121.687500,-111.800000,90.000000,top
"R4","5K","R_0805_2012Metric",125.187500,-116.087500,0.000000,top
"R5","1K","R_0805_2012Metric",138.000000,-115.387500,-90.000000,top
"R6","100K","R_0805_2012Metric",149.875000,-116.500000,180.000000,top
"R7","100K","R_0805_2012Metric",153.500000,-116.500000,0.000000,top
"R9","200","R_0805_2012Metric",156.900000,-117.887500,90.000000,top
"R10","330","R_0805_2012Metric",193.280000,-127.570000,0.000000,top
"R11","1K","R_0805_2012Metric",164.417500,-130.200000,0.000000,top
"R12","10K","R_0805_2012Metric",188.187500,-110.200000,0.000000,top
"R13","10K","R_0805_2012Metric",130.662500,-134.150000,0.000000,top
"R14","10K","R_0805_2012Metric",144.071875,-134.100000,0.000000,top
"R15","10K","R_0805_2012Metric",157.481250,-134.200000,0.000000,top
"R16","10K","R_0805_2012Metric",170.890625,-134.200000,0.000000,top
"R17","10K","R_0805_2012Metric",184.300000,-134.200000,0.000000,top
"R18","1K","R_0805_2012Metric",170.647500,-116.290000,0.000000,top
"S1","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",188.550000,-104.950000,180.000000,top
"S2","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",130.650000,-138.650000,0.000000,top
"S3","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",144.125000,-138.700000,0.000000,top
"S4","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",157.600000,-138.700000,0.000000,top
"S5","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",171.075000,-138.700000,0.000000,top
"S6","TS04-66-70-BK-160-SMT","SW_TS04-66-70-BK-160-SMT",184.550000,-138.700000,0.000000,top
"SW1","SW_SPDT","SW_JS102011SAQN",135.100000,-103.400000,180.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",159.937500,-123.947500,90.000000,top
"U2","MCP73831-2-OT","SOT-23-5",125.000000,-113.087500,180.000000,top
"U3","ME6211C33M5","SOT-23-5",134.487500,-113.087500,180.000000,top
"U4","W25Q32JVSS","SOIC-8_5.3x5.3mm_P1.27mm",147.200000,-124.800000,90.000000,top
"Y2","ABM8G-12.000MHZ-18-D2Y-T","XTAL_ABM8G-12.000MHZ-18-D2Y-T",168.500000,-126.970000,-90.000000,top
